player,tm,g,gs,fg_percent,x3p_percent,x2p_percent,ft_percent,pts_per_game
Simone Fontecchio,UTA,13,0,0.375,0.379,0.364,0.714,3.5
Spencer Dinwiddie,DAL,20,20,0.475,0.4,0.555,0.833,17.0
Stephen Curry,GSW,20,20,0.518,0.436,0.627,0.907,31.4
Steven Adams,MEM,20,20,0.616,0.0,0.622,0.3,7.8
Svi Mykhailiuk,NYK,6,0,0.6,1.0,0.0,0.333,1.7
T.J. McConnell,IND,20,0,0.449,0.333,0.463,0.909,5.5
Taj Gibson,WAS,10,0,0.48,0.167,0.579,1.0,3.3
Talen Horton-Tucker,UTA,23,0,0.395,0.269,0.484,0.765,7.5
Tari Eason,HOU,21,0,0.403,0.341,0.426,0.848,8.1
Taurean Prince,MIN,18,0,0.495,0.389,0.612,0.864,7.9
Terance Mann,LAC,23,11,0.557,0.333,0.663,0.719,8.0
Terence Davis,SAC,19,1,0.449,0.406,0.526,0.875,7.3
Terrence Ross,ORL,19,8,0.422,0.386,0.465,0.692,9.0
Terry Rozier,CHO,13,13,0.38,0.301,0.437,0.794,20.5
Terry Taylor,IND,13,2,0.379,0.222,0.45,0.8,2.2
Thaddeus Young,TOR,18,8,0.537,0.077,0.623,0.857,5.6
Thanasis Antetokounmpo,MIL,10,0,0.0,0.0,0.0,0.0,0.0
Théo Maledon,CHO,19,1,0.456,0.367,0.51,0.87,5.4
Theo Pinson,DAL,5,0,0.5,0.0,1.0,1.0,0.8
Thomas Bryant,LAL,6,1,0.742,0.25,0.815,0.643,9.3
Tim Hardaway Jr.,DAL,19,2,0.327,0.308,0.362,0.9,10.8
Tobias Harris,PHI,20,20,0.47,0.356,0.542,0.825,16.2
Tony Bradley,CHI,6,0,0.5,0.5,0.5,1.0,1.2
Torrey Craig,PHO,21,13,0.473,0.382,0.571,0.769,7.6
Trae Young,ATL,21,21,0.411,0.303,0.467,0.899,27.8
Tre Jones,SAS,21,21,0.417,0.321,0.446,0.909,12.3
Tre Mann,OKC,19,4,0.389,0.287,0.512,0.625,9.6
Trendon Watford,POR,13,1,0.578,0.333,0.639,0.941,5.5
Trent Forrest,ATL,8,0,0.5,0.0,0.5,0.0,1.3
Trevor Hudgins,HOU,1,0,1.0,1.0,0.0,0.0,3.0
Trevor Keels,NYK,1,0,0.0,0.0,0.0,0.0,0.0
Trey Lyles,SAC,16,0,0.412,0.35,0.56,0.727,6.7
Trey Murphy III,NOP,19,9,0.488,0.413,0.619,0.946,13.1
Troy Brown Jr.,LAL,17,15,0.437,0.327,0.531,1.0,7.8
Ty Jerome,GSW,9,0,0.529,0.412,0.647,1.0,6.1
Tyler Dorsey,DAL,1,0,1.0,1.0,1.0,0.0,9.0
Tyler Herro,MIA,14,14,0.433,0.337,0.513,0.878,18.4
Tyrese Haliburton,IND,21,21,0.469,0.372,0.552,0.85,19.3
Tyrese Martin,ATL,7,0,0.5,0.333,0.667,0.0,1.0
Tyrese Maxey,PHI,15,15,0.462,0.422,0.485,0.738,22.9
TyTy Washington Jr.,HOU,1,0,0.0,0.0,0.0,0.5,1.0
Tyus Jones,MEM,21,3,0.443,0.37,0.495,0.636,10.2
Udoka Azubuike,UTA,8,0,0.857,0.0,0.857,0.0,1.5
Udonis Haslem,MIA,3,0,0.2,0.0,0.25,0.5,1.0
Usman Garuba,HOU,19,1,0.577,0.636,0.561,0.591,4.2
Vernon Carey Jr.,WAS,3,0,0.0,0.0,0.0,0.0,0.0
Vince Williams Jr.,MEM,5,0,0.375,0.167,1.0,0.0,1.4
Vit Krejci,ATL,9,0,0.444,0.375,1.0,0.0,1.2
Vlatko Čančar,DEN,13,0,0.481,0.444,0.52,0.857,5.2
Walker Kessler,UTA,21,0,0.714,0.0,0.714,0.517,5.0
Wendell Carter Jr.,ORL,15,15,0.515,0.346,0.59,0.826,16.6
Wendell Moore Jr.,MIN,5,1,0.3,0.2,0.4,0.667,1.8
Wenyen Gabriel,LAL,18,2,0.613,0.273,0.686,0.818,5.4
Wesley Matthews,MIL,17,0,0.316,0.311,0.333,0.875,3.4
Will Barton,WAS,22,0,0.363,0.329,0.389,0.875,7.7
Willy Hernangómez,NOP,9,0,0.469,0.0,0.517,0.833,4.4
Xavier Tillman Sr.,MEM,9,0,0.542,0.25,0.6,0.3,3.3
Yuta Watanabe,BRK,14,0,0.609,0.571,0.667,0.667,8.1
Zach Collins,SAS,12,1,0.532,0.37,0.62,0.727,8.3
Zach LaVine,CHI,17,17,0.407,0.348,0.457,0.827,20.9
Zeke Nnaji,DEN,16,0,0.593,0.231,0.707,0.8,4.7
Zion Williamson,NOP,16,16,0.592,0.333,0.602,0.713,23.1
